workflow_id,run_id,status,discussion_seconds,forced_reject_done,current_phase,started_at,completed_at,report_markdown_path,report_json_path,notes,project_id,cycle_no
intl-news-hotspots,f5499af24248,completed,20,f,agent.optimization,2026-04-07 19:56:51.417612+00,2026-04-07 20:03:41.754314+00,/opt/newsflow-mvp/output/f5499af24248/final_report.md,/opt/newsflow-mvp/output/f5499af24248/final_report.json,"{""cycle_no"": 1, ""trace_id"": ""9e03fce1a6b3e1d7fd861125698ab114"", ""project_id"": ""newsloop-cutover-0822"", ""publish_gate"": {""reason"": ""all blockers closed and recheck passed"", ""recheck_done"": 1, ""blocker_count"": 0, ""proofread_round"": 1, ""artifact_manifest"": {""publish_status"": ""completed"", ""rendered_md_path"": ""/opt/newsflow-mvp/output/f5499af24248/final_report.md"", ""final_artifact_id"": ""artifact-f5499af24248"", ""rendered_html_path"": ""/opt/newsflow-mvp/output/f5499af24248/final_report.html"", ""rendered_json_path"": ""/opt/newsflow-mvp/output/f5499af24248/final_report.json""}, ""closed_blocker_count"": 4}, ""trace_context"": {""traceparent"": ""00-9e03fce1a6b3e1d7fd861125698ab114-29ef2b6ba6359613-01""}, ""draft_report_md"": ""/opt/newsflow-mvp/output/f5499af24248/draft_report.md"", ""draft_report_html"": ""/opt/newsflow-mvp/output/f5499af24248/draft_report.html"", ""draft_report_json"": ""/opt/newsflow-mvp/output/f5499af24248/draft_report.json"", ""final_report_html"": ""/opt/newsflow-mvp/output/f5499af24248/final_report.html"", ""revised_report_md"": ""/opt/newsflow-mvp/output/f5499af24248/revised_final_report.md"", ""cycle_task_plan_md"": ""/opt/newsflow-mvp/output/f5499af24248/cycle_task_plan.md"", ""revised_report_html"": ""/opt/newsflow-mvp/output/f5499af24248/revised_final_report.html"", ""revised_report_json"": ""/opt/newsflow-mvp/output/f5499af24248/revised_final_report.json"", ""cycle_task_plan_html"": ""/opt/newsflow-mvp/output/f5499af24248/cycle_task_plan.html"", ""cycle_task_plan_json"": ""/opt/newsflow-mvp/output/f5499af24248/cycle_task_plan.json"", ""proofread_required_actions"": [""改写主推首句"", ""进入 recheck""], ""proofread_rule_decision_html"": ""/opt/newsflow-mvp/output/f5499af24248/proofread_rule_decision.html"", ""proofread_decision_explanation_html"": ""/opt/newsflow-mvp/output/f5499af24248/proofread_decision_explanation.html"", ""proofread_decision_explanation_mode"": ""llm"", ""proofread_blocker_count_after_decision"": 4}",newsloop-cutover-0822,1
intl-news-hotspots,3532ccc60622,completed,20,f,agent.optimization,2026-04-07 20:03:47.535807+00,2026-04-07 20:10:51.580273+00,/opt/newsflow-mvp/output/3532ccc60622/final_report.md,/opt/newsflow-mvp/output/3532ccc60622/final_report.json,"{""cycle_no"": 2, ""trace_id"": ""ff4b98bf0793f989d1ffeaa9f68b4080"", ""project_id"": ""newsloop-cutover-0822"", ""publish_gate"": {""reason"": ""all blockers closed and recheck passed"", ""recheck_done"": 1, ""blocker_count"": 0, ""proofread_round"": 0, ""artifact_manifest"": {""publish_status"": ""completed"", ""rendered_md_path"": ""/opt/newsflow-mvp/output/3532ccc60622/final_report.md"", ""final_artifact_id"": ""artifact-3532ccc60622"", ""rendered_html_path"": ""/opt/newsflow-mvp/output/3532ccc60622/final_report.html"", ""rendered_json_path"": ""/opt/newsflow-mvp/output/3532ccc60622/final_report.json""}, ""closed_blocker_count"": 0}, ""trace_context"": {""traceparent"": ""00-ff4b98bf0793f989d1ffeaa9f68b4080-13e636b689670569-01""}, ""draft_report_md"": ""/opt/newsflow-mvp/output/3532ccc60622/draft_report.md"", ""draft_report_html"": ""/opt/newsflow-mvp/output/3532ccc60622/draft_report.html"", ""draft_report_json"": ""/opt/newsflow-mvp/output/3532ccc60622/draft_report.json"", ""final_report_html"": ""/opt/newsflow-mvp/output/3532ccc60622/final_report.html"", ""cycle_task_plan_md"": ""/opt/newsflow-mvp/output/3532ccc60622/cycle_task_plan.md"", ""cycle_task_plan_html"": ""/opt/newsflow-mvp/output/3532ccc60622/cycle_task_plan.html"", ""cycle_task_plan_json"": ""/opt/newsflow-mvp/output/3532ccc60622/cycle_task_plan.json"", ""proofread_required_actions"": [], ""proofread_rule_decision_html"": ""/opt/newsflow-mvp/output/3532ccc60622/proofread_rule_decision.html"", ""proofread_decision_explanation_html"": ""/opt/newsflow-mvp/output/3532ccc60622/proofread_decision_explanation.html"", ""proofread_decision_explanation_mode"": ""llm"", ""proofread_blocker_count_after_decision"": 0}",newsloop-cutover-0822,2
intl-news-hotspots,8f5beadb4a73,stopped,10,f,draft.revise,2026-04-07 20:13:20.338627+00,,,,"{""cycle_no"": 1, ""trace_id"": ""a9fe1cc1858b31b74c1cc5ea61f78849"", ""project_id"": ""newsloop-cutover-redo-0822a"", ""trace_context"": {""traceparent"": ""00-a9fe1cc1858b31b74c1cc5ea61f78849-987521e30b3b6a1c-01""}, ""draft_report_md"": ""/opt/newsflow-mvp/output/8f5beadb4a73/draft_report.md"", ""draft_report_html"": ""/opt/newsflow-mvp/output/8f5beadb4a73/draft_report.html"", ""draft_report_json"": ""/opt/newsflow-mvp/output/8f5beadb4a73/draft_report.json"", ""revised_report_md"": ""/opt/newsflow-mvp/output/8f5beadb4a73/revised_final_report.md"", ""cycle_task_plan_md"": ""/opt/newsflow-mvp/output/8f5beadb4a73/cycle_task_plan.md"", ""revised_report_html"": ""/opt/newsflow-mvp/output/8f5beadb4a73/revised_final_report.html"", ""revised_report_json"": ""/opt/newsflow-mvp/output/8f5beadb4a73/revised_final_report.json"", ""cycle_task_plan_html"": ""/opt/newsflow-mvp/output/8f5beadb4a73/cycle_task_plan.html"", ""cycle_task_plan_json"": ""/opt/newsflow-mvp/output/8f5beadb4a73/cycle_task_plan.json"", ""proofread_required_actions"": [""改写主推首句"", ""进入 recheck""], ""proofread_rule_decision_html"": ""/opt/newsflow-mvp/output/8f5beadb4a73/proofread_rule_decision.html"", ""proofread_decision_explanation_html"": ""/opt/newsflow-mvp/output/8f5beadb4a73/proofread_decision_explanation.html"", ""proofread_decision_explanation_mode"": ""llm"", ""proofread_blocker_count_after_decision"": 4}",newsloop-cutover-redo-0822a,1
